gene,score_kmeans,score_agg,score_pca,consistency_score
B2M,0.0007350398570203946,0.0005402146929733853,0.0007825810870496559,0.9000685945212348
H3F3B,0.0010677425075552938,0.0006608838867394939,0.0007545651741815118,0.08965532347981407
TMEM40,1.0,1.0,0.003242851525174581,0.06681972411352718
LYZ,0.61117328797634,0.5870176101945401,0.6803146511123408,0.06266191566757241
S100A9,0.6059687684725189,0.5770855172140862,0.6674255357230853,0.06176081134496369
CD79A,0.01620448354964644,0.727235807149214,1.0,0.058164523748473154
S100A8,0.4181453820535594,0.4024929080744841,0.46670744334076647,0.04295985393714646
LGALS2,0.3522375208170648,0.3434860494273653,0.395587984158694,0.03643038986330765
MS4A1,0.014847820640610713,0.46503214044670727,0.5853280933961895,0.03555262050184948
CTSS,0.2754596680879865,0.28048178008701274,0.32816108197569993,0.029521574587081857
CST7,0.22805096725520854,0.030836450864083684,0.5465641392208828,0.02688972382134151
GNG11,0.3773422960201813,0.37675879633591997,0.006118841420946966,0.02538829971319296
SDPR,0.36500564836656296,0.3653041654676928,0.0027783184899265708,0.024480393128313408
CD79B,0.004728926644364847,0.31936542673496787,0.4010403007967665,0.024224704728721336
HGD,0.35904279825217117,0.35905663742004823,0.0016990651781375193,0.024045357687592812
RPS27,0.26246022988500267,0.16341549552646656,0.24523576318697532,0.022411748451919736
LY6G6F,0.3320772566854501,0.3320785629669293,0.0018722075796593026,0.022255812299659068
HLA-DPB1,0.031692044135336224,0.2630067010620187,0.34756527288699984,0.021448247471111105
GPX1,0.183986168564614,0.18638651882116808,0.20816605999622773,0.01933623557791824
SPARC,0.28191443329605104,0.28232050139239906,0.0035058961638797493,0.018963817961056145
RPL13A,0.2147641191581842,0.12655421583055573,0.18929544335889156,0.01774546564785072
LGALS3,0.15638450780061058,0.15600349762632973,0.17911724636663268,0.016433081279861473
RPS6,0.19042129531343518,0.14136943538045357,0.14506325116354415,0.01593654536064793
MS4A6A,0.1511628381703941,0.14873209853526914,0.17280940546391385,0.015888869981831213
RBM3,0.0008440257742373155,0.002717136754945514,0.002345071766757613,0.015632260184381925
RPL3,0.1654732403791516,0.13493166087305006,0.16116332608519573,0.015428830873383526
PYCARD,0.14784381935669055,0.1391449017644048,0.17087138652775316,0.015310424589479945
SRGN,0.039984871532292125,0.028619162497177893,0.04738177165846035,0.014319693978918784
CD3E,0.06171035662607575,0.1369287420918385,0.1783798890236311,0.012614735251328604
