gene,grad_abs
B2M,1.0
UBXN1,0.89576036
SRGN,0.8660008
SF3B5,0.8064993
JTB,0.8047406
ATP5H,0.7878626
RBM3,0.7480644
ATP5A1,0.73411256
H3F3B,0.71836954
SNHG7,0.70418745
VAPA,0.6504199
DNAJA1,0.6494262
CASP4,0.6349619
CSNK2B,0.6293167
SELL,0.5924153
RPL7L1,0.5908764
LINC00936,0.5864642
MRPL41,0.58419794
ALKBH7,0.57806504
RPS19BP1,0.57581854
GSTP1,0.5719186
TMEM14B,0.568077
NOL7,0.56106454
DPY30,0.5550906
LAMTOR1,0.53856385
STX11,0.51430815
MRPL43,0.5060859
OCIAD1,0.50443214
PHPT1,0.50355506
TRAPPC3,0.4987692
LAMTOR5,0.49575618
TAF12,0.49315092
CCNG1,0.49205437
RAB11B,0.48900527
TNFSF13B,0.48770034
SCP2,0.48678944
IRF8,0.48167443
EIF2B1,0.48133275
TINF2,0.47212684
BLVRA,0.46674484
AATF,0.44445089
EIF1AY,0.44268623
GZMB,0.44177592
CECR5,0.43861377
SMIM12,0.4366596
VPS25,0.42939565
PHF14,0.42480344
IFI30,0.4212815
STMN1,0.4139386
ZNF106,0.410141
ARPP19,0.40972033
SIAH2,0.4072393
P2RX5,0.40559107
PRKCB,0.40495402
CCL4,0.40181676
CYTH2,0.39940637
RRS1,0.39793375
PLBD1,0.3958428
MRPL21,0.39499325
ZMAT5,0.3847997
PRAF2,0.38468924
GRSF1,0.38335776
MRPS18A,0.37890726
C17orf62,0.3762931
LINC00926,0.37303817
PASK,0.37097096
VPS13C,0.36908433
CARS,0.36755174
PHF3,0.36487192
OAS3,0.3632169
INTS12,0.3595032
TMEM87A,0.35694164
MYCBP2,0.35518187
NARS,0.35381028
RFXANK,0.35361126
SNX14,0.3514102
GLB1,0.33604318
USP5,0.32601428
PITPNA-AS1,0.32113758
SPG7,0.3161473
DCP2,0.31548563
MFSD1,0.31033963
PDZD11,0.31018293
PILRB,0.30953893
CRIP2,0.30932626
EFCAB14,0.3079958
AC093323.3,0.30623695
SEPHS2,0.29877964
RFC1,0.29861647
PKN2,0.2919899
NME6,0.29147148
RALBP1,0.2903168
FOPNL,0.28967828
MAP3K8,0.28947818
TBPL1,0.28868482
ATG4C,0.28754607
ARIH2OS,0.28535587
THUMPD3,0.28402257
ZNF688,0.2794046
ARRDC3,0.27888685
CDC16,0.2786041
VPS13A,0.27760404
SAAL1,0.276399
DNASE1,0.27587157
FNBP4,0.2719782
USP20,0.262192
RCHY1,0.25798884
CD160,0.2553562
VWA9,0.25056756
S100A12,0.2466805
LPGAT1,0.2438126
TIFA,0.24305643
NSMAF,0.24142411
TMEM140,0.23841102
CIRH1A,0.23700447
TARSL2,0.23551953
RP11-60I3.5,0.23203619
ZNF766,0.23099013
SLC30A9,0.2300184
P2RX4,0.22994132
ZNF91,0.22940658
WDR37,0.228983
ZNF557,0.22882451
EIF2B5,0.22846384
BZW2,0.22621666
FBXL12,0.22483797
RFWD3,0.22339928
ECI1,0.22274075
AIMP1,0.22165895
TMEM242,0.22148828
FAM21C,0.22025046
TMEM104,0.21937771
SURF6,0.21931168
LGMN,0.21924946
ABHD17B,0.21774745
LRRK2,0.21727501
NCOA7,0.21712336
CR1,0.21663362
MRPS15,0.21597737
KDM3B,0.21529874
ESYT1,0.21347801
TAS2R14,0.21313123
SACM1L,0.21127138
ZNF81,0.21110749
CORO7,0.21073648
MRS2,0.2087509
PTPRC,0.20865338
TFPT,0.20817034
ACAA2,0.20816474
PAICS,0.20812686
MANEA,0.20799012
ARHGAP25,0.20717834
TMEM192,0.20693934
ANPEP,0.2061118
KIF1B,0.20568408
HAVCR2,0.20514512
CEP68,0.2050482
TRIM33,0.20500886
ADAP2,0.20333908
SYNCRIP,0.20299391
INPP5K,0.20250218
UBLCP1,0.20247845
RP11-57H14.2,0.20240505
TIAL1,0.201751
WDR7,0.20121366
NR1H2,0.20089877
RP11-1151B14.4,0.20047428
PNO1,0.20041148
ZC3H12D,0.20033959
ACSL3,0.20007075
CISD3,0.19970691
CWC15,0.19953361
HSF2,0.19934613
ZNF581,0.19879591
TSPYL1,0.19867682
RABEP1,0.19863299
LIMD1,0.19841982
ZNF514,0.1982339
NDUFS8,0.19822808
TPST2,0.19789138
PGLYRP2,0.1976895
KIAA0195,0.19689138
RPGR,0.1968673
CTBS,0.19652726
RPF1,0.19648042
CHD7,0.19645752
FOSB,0.19608772
AGBL5,0.19604473
LMO7,0.1952926
AMZ2,0.19502178
DLG1,0.19476399
COPS8,0.19429812
METRN,0.19416165
SGCE,0.19415998
RPN1,0.19376196
RGS18,0.1936413
EIF3H,0.19347604
TPM2,0.19337144
CEP104,0.19335343
OXSM,0.19322494
UBOX5,0.19295046
LEMD3,0.19261394
UCHL3,0.19255564
DUS3L,0.19248956
PMF1,0.19212572
NIP7,0.19144744
RXRB,0.19141227
SEC14L2,0.19133326
ZNF507,0.19117288
MED22,0.19117203
RAB20,0.19072403
EPN1,0.19071682
TMEM45B,0.19043106
LINS,0.19016889
ATAD3A,0.19001786
MDH1,0.18997814
ANAPC4,0.18995918
ARSA,0.18986048
SERPINB6,0.18960743
FAM200B,0.18952575
C4orf27,0.18933451
C14orf80,0.18926178
FOXJ3,0.18922457
CDK14,0.18907024
G3BP1,0.18897039
ZBTB25,0.18894206
UQCRH,0.1886124
LYRM4,0.18837477
POGLUT1,0.18826824
PUS7,0.18768856
TP53TG1,0.18747936
TWSG1,0.1873963
RP11-425D10.10,0.18727002
AP4M1,0.18718594
CCDC73,0.18670781
ACIN1,0.1866377
UTP20,0.18660216
CLPX,0.18647529
RPS26,0.18634151
ABHD10,0.18611813
RBM38,0.18563542
NARG2,0.18553531
AC093388.3,0.18523602
MCF2L,0.18516818
STRN3,0.18512078
EIF5B,0.18508291
UBE2I,0.18486938
CDK6,0.18472889
ANXA7,0.18466152
RNF157,0.18465723
TBC1D12,0.18454354
RAMP1,0.18452461
FAHD2B,0.18444555
MIR22HG,0.18430841
SENP7,0.18411835
RPL39,0.18390001
MRPL17,0.18387958
DGUOK,0.18370192
AC079305.10,0.18364184
PLOD3,0.18344297
NCF1,0.18339936
NRM,0.183171
RPUSD3,0.1830024
GOT2,0.18297829
FAM63B,0.18284473
HMCES,0.1828043
CCT6A,0.18279937
SND1,0.18277715
FAM13A-AS1,0.18276466
MCCC2,0.18275099
IFFO2,0.18271005
RP11-793H13.3,0.1825674
URB1,0.18254903
DNASE1L1,0.18250829
INPP4A,0.18241774
EEPD1,0.18218532
C1orf52,0.18211642
SETD5-AS1,0.1820463
CRLF3,0.18159698
CCT2,0.18156032
CTB-129O4.1,0.18153279
ZNF256,0.18141532
PLEKHA3,0.18140809
RBL2,0.18097542
PET112,0.18091822
PSMG1,0.18056256
COG6,0.18052718
RP11-101E13.5,0.18000835
WIPF2,0.17999046
FBXO34,0.17990883
CCR10,0.17972808
NISCH,0.17967284
SDF4,0.17964408
DNAJB6,0.17961107
RP5-1180C10.2,0.17957157
DTX2,0.17940356
SLC14A1,0.17935319
RP11-1114A5.4,0.17929599
SEMA4B,0.17920993
EIF3G,0.17898682
FCRL6,0.17885241
ATG2B,0.17880236
ZFAND4,0.17867687
ROM1,0.17866193
MPRIP,0.17853364
DTYMK,0.17847767
ZNF595,0.17843665
TMEM194B,0.17832169
ZMYM4,0.17814685
RABEP2,0.17813425
GBP2,0.17795198
STX10,0.17761536
CTB-133G6.1,0.1776126
SNAP47,0.17760903
RNF20,0.17756894
TRIM21,0.17749684
FLVCR1,0.17742719
CXCR5,0.1772717
UBA3,0.17727137
ZNF589,0.17714806
TIMM13,0.17709084
RP11-284N8.3,0.17627196
TRIOBP,0.17597084
CLASRP,0.1759447
GLTSCR1,0.17578849
CCNK,0.17569801
BTBD19,0.1755725
FAM65C,0.17549163
VKORC1L1,0.17539836
ZFP91,0.17536579
CAPNS1,0.17532569
ACP5,0.17531377
CEP128,0.17527157
POPDC2,0.17517969
LINC00944,0.17492816
ANKRD34A,0.17489685
TUBGCP3,0.17487891
ALG1L,0.17486182
PPAPDC1B,0.1747688
DYM,0.17465752
TRAPPC6B,0.17461674
TPRA1,0.1746127
CDCA4,0.17458938
HTATSF1,0.1745189
RP11-252A24.3,0.1744304
CTD-2228K2.5,0.17431837
HENMT1,0.17421244
SLC25A37,0.1738696
TUBGCP5,0.1738054
CCDC132,0.17377336
GNG10,0.17370304
CENPBD1,0.17368405
HMHA1,0.17342825
ABHD6,0.17339203
MED4,0.17335458
RP11-115C21.2,0.17331876
FAAH,0.17315869
ZFAND6,0.17312932
CDK2AP1,0.17296857
RECQL5,0.17290974
SIRPB1,0.17280555
RP11-950C14.3,0.17264827
CDC37,0.17264014
FASN,0.17261961
RP11-820I16.4,0.17212321
TMEM161A,0.17203344
ITCH,0.17201975
CHML,0.17201722
CHMP3,0.17188331
GTF3A,0.17185569
CYHR1,0.17161608
COPG1,0.17150763
ZNF579,0.17144753
SRA1,0.17138563
PIN1,0.1712617
MRPL42,0.17123379
HIST1H1D,0.17120619
TSEN34,0.17112932
MMP17,0.17112738
IDH2,0.17111185
AAR2,0.1710491
GDI1,0.17092286
AP1AR,0.17085125
SIKE1,0.17084223
MINPP1,0.17073657
HCG11,0.1706902
ZC3H7B,0.1706149
CWC27,0.17051055
TMEM50A,0.17047225
TAPBPL,0.17037502
FXR1,0.17037193
GIMAP6,0.17030643
IKZF1,0.17019004
MAP4K3,0.17001154
CD52,0.16989936
CCNG2,0.16989067
CXorf38,0.16983223
BLZF1,0.16972649
LANCL2,0.1697157
HGF,0.16964905
C19orf68,0.16957173
CXCR6,0.16946332
UROS,0.16946094
POLR2J3,0.16934529
DDX39A,0.16927682
CTC-479C5.12,0.16923797
WDR45,0.16913758
ANKMY1,0.16910672
EBAG9,0.1690395
FAM206A,0.16894303
TRIP11,0.16890967
TXLNG,0.1687443
SREBF2,0.16869782
RPL35,0.16865027
ARRB2,0.16852497
WDR89,0.16852476
IPO8,0.16851228
UNC45A,0.16833438
RP11-635N19.1,0.16832195
ATP6V0C,0.16830714
MLXIP,0.16825743
DIAPH1,0.16825199
YAF2,0.16812326
PIGN,0.16794996
LINC00339,0.16790047
RP11-498C9.3,0.16785835
SEPT6,0.1678523
CTNNB1,0.16768938
ZNF790,0.16765201
DNMBP,0.16759276
CCNL2,0.16747557
GABPA,0.16747257
GALNT6,0.16745917
APOBEC3D,0.16743295
PCK2,0.16741733
RBM12B,0.16739947
SPHK2,0.16735055
ZBTB24,0.16727236
AMD1,0.16716844
CLUAP1,0.16711211
RP11-391M1.4,0.1669395
SLC35A2,0.1669171
UBXN10-AS1,0.16691673
DYNC1H1,0.16672687
RNASE2,0.16666779
CREBZF,0.16660348
ADAR,0.16657315
MZT1,0.16655056
PDLIM2,0.16645782
TMEM9B,0.16639553
LNX2,0.16636156
CDC34,0.16633087
RSL1D1,0.16632871
CEP85,0.16619845
CLIP4,0.16617805
C14orf159,0.16616271
ZNF773,0.16612749
PSMG3,0.16610649
ADAMTS6,0.16598676
CCDC104,0.1658958
OR2A1-AS1,0.16584234
AP001372.2,0.1657952
RP11-432I5.1,0.16575128
CTB-31O20.2,0.16572866
RPS24,0.16572654
PLEKHG1,0.1656745
NPRL3,0.16559465
GPAM,0.1655815
USF1,0.1655691
TBC1D14,0.16555876
CCDC92,0.16550906
NFE2L3,0.1654902
SPINT1,0.16546763
PGRMC1,0.16528045
ZNF32,0.16523503
ELL2,0.16514724
RRP8,0.16514245
TBC1D20,0.16511959
CTNNBL1,0.16502129
ASXL2,0.16479494
PYCARD,0.1647357
UBE2E2,0.16462384
PWWP2A,0.16458179
TMED3,0.16448312
CYB5B,0.16442116
NDUFB8-1,0.16436347
CD2AP,0.16426352
FAM3C,0.16423397
CHUK,0.16421449
GDAP1,0.1641777
ZNF7,0.16415624
MRFAP1L1,0.16409002
RNF146,0.16405515
GPATCH2L,0.16405143
TSR1,0.16397949
RPS6,0.1639782
TRIQK,0.16396149
TRAPPC11,0.16391802
GTF2H1,0.16391745
BCL2L11,0.16391666
L3MBTL2,0.16389905
CDYL2,0.16389842
OPA1,0.16386025
KDELR2,0.1638495
TRAPPC2P1,0.163747
RALA,0.16352491
TRPS1,0.16350277
PCBD2,0.1634882
VPRBP,0.16347478
RBM48,0.16346775
ACO1,0.16337065
PTRH1,0.16335873
TBL1X,0.16327426
OAZ2,0.16315001
CUTC,0.16283827
COX14,0.16282317
CCNF,0.16281377
CCDC117,0.16278766
CARD8,0.16269505
ZFAND2B,0.16258612
ANXA1,0.16257851
IP6K1,0.1625315
RP11-158M2.3,0.16251995
RER1,0.16250983
TULP3,0.1623856
RB1CC1,0.16237737
CDC42SE1,0.16236836
C12orf57,0.16229206
PDP1,0.16228193
GPR174,0.16228144
YIF1A,0.16223957
RP11-493L12.4,0.16223517
MAEA,0.16219455
FAM66C,0.16211748
PPP1R11,0.16206531
GEMIN2,0.16203932
POLR1B,0.16200441
KDM1B,0.16195026
POLR3GL,0.161793
NACA2,0.1617767
CLCN6,0.16177064
CEP170B,0.16169201
GPR107,0.16166559
TXNL4B,0.16144109
EXTL2,0.1613848
FXN,0.1613736
NDUFA5,0.16136944
TOR3A,0.16132182
MICAL3,0.16131896
CLIP2,0.16122676
TRIT1,0.16121104
KLF8,0.16115852
TLCD1,0.16113047
RHNO1,0.16112302
OSBPL5,0.16110511
PSEN1,0.16109726
PIGC,0.1610884
GTPBP6,0.16084756
TCF20,0.16084027
SDAD1,0.16082233
ENKUR,0.1608025
FNIP1,0.16075562
ELF1,0.1607378
ARMCX1,0.16064274
POLR2D,0.16062826
ATPAF1,0.16060434
CNIH3,0.16058175
TMCC3,0.16055098
DDX17,0.1605505
RP11-553L6.2,0.16019478
SDCBP,0.16009563
ACBD5,0.16006012
SMEK2,0.16004622
SPRYD7,0.16003269
ACSM3,0.16002049
RP11-383C5.4,0.15999386
DDX47,0.15999283
TRIM8,0.15985088
FBRSL1,0.15981662
TPRKB,0.1597868
MLST8,0.15966211
ARFIP1,0.15955627
AC016629.8,0.15953253
MICU2,0.15949441
PAPD7,0.15948159
IKBKB,0.15947926
ALG5,0.1594335
FAM208A,0.15940697
SULF2,0.15938175
LRRC16A,0.15933505
NXPE3,0.15922844
PRPF6,0.15912318
EIF4H,0.15907097
IFNAR2,0.15899478
RSAD1,0.15898612
DUSP22,0.15892275
RP11-152N13.5,0.1588247
CCL3L3,0.15880457
C11orf30,0.1587981
BOLA3-AS1,0.158791
ZNF443,0.15874888
RHBDF2,0.1586995
VSIG10L,0.15865454
RP11-463J10.3,0.15857898
DZANK1,0.15856215
ZFR,0.15855522
CEBPB,0.15847442
USPL1,0.15837571
KIAA0922,0.15831088
RP11-869B15.1,0.15820278
GS1-124K5.4,0.15806216
VTI1A,0.15800214
MIA3,0.15799922
IFT81,0.15781303
AMFR,0.15778378
ADAM9,0.15772106
MST4,0.15766338
POLD4,0.15762636
TMEM170A,0.15761144
DUSP7,0.15760197
CCDC15,0.15753698
NVL,0.15753393
LINC00969,0.1575001
RABEPK,0.15749459
BTN3A1,0.15748055
SEC24A,0.15745021
C17orf89,0.15744641
ABCG1,0.1574136
TGFBR1,0.15740582
ZNF517,0.15739577
TIRAP,0.15727381
ZNF544,0.15720488
KLC1,0.15711547
RP11-160O5.1,0.15710162
RP11-408A13.4,0.15708968
PEMT,0.15705623
UNKL,0.15700163
TRA2B,0.15691893
ARL11,0.1569185
SMPD1,0.15686662
SEC24B,0.15681484
RANBP2,0.15680346
TARBP1,0.15673696
F5,0.15673143
CHST12,0.15669647
ADCK1,0.15660204
HAUS8,0.15648346
FAM105B,0.15648143
AL353354.2,0.15646252
NACA,0.15638681
PPP3CA,0.15635179
CDS2,0.1562442
TRIP12,0.15610206
LRRC42,0.15606871
MT-ND3,0.15606843
MAFB,0.15602997
RP11-395A13.2,0.15601061
SMEK1,0.1559787
MRPS9,0.15594651
SNRPB2,0.15594077
DKFZP761J1410,0.15587828
PSMA1,0.15584783
C19orf24,0.15581602
CCBL1,0.15574692
CAMK2N1,0.15572777
DLG3,0.15548109
ATF5,0.15541257
STARD4,0.15522726
RILPL2,0.15518992
SRGAP3,0.15507278
IPO4,0.15506484
SDHD,0.15505658
THUMPD2,0.15502793
NABP1,0.15497692
EPC2,0.15496522
SLC39A7,0.15492313
PSMD13,0.15489379
CPSF1,0.1548121
AKTIP,0.15471195
ARHGAP30,0.15467797
TMCO4,0.15459855
PHC3,0.1545759
ATPAF2,0.15455212
FXYD6,0.15450032
GLG1,0.15448157
HCLS1,0.15439896
DDRGK1,0.15436044
NUDC,0.15435499
KBTBD11,0.15435188
SP4,0.15434246
KRI1,0.15427984
RPL4,0.1542542
PFDN1,0.15417501
WDR47,0.15412964
ULK1,0.1541105
RP5-1125A11.1,0.15406233
FAM63A,0.15402782
FCGR1B,0.15402156
C9orf9,0.1539653
ANKRD27,0.15391119
CDKL3,0.1539017
GMPR2,0.15389399
FBXO31,0.15376227
KAT6A,0.1537245
ZNF618,0.15370095
TNFRSF13C,0.1536754
IL4R,0.15366594
DDX23,0.15362765
MRPL33,0.15358953
SLC23A2,0.15357684
MCM9,0.15350883
ZNF329,0.15339597
PDE6D,0.15303917
FCRL1,0.15303184
EAPP,0.1529568
TYSND1,0.15287949
MEST,0.15284352
HDAC5,0.15280996
NPIPB4,0.15279047
PPT1,0.1527889
ITM2A,0.15277107
RP5-892K4.1,0.15276492
TUBA1B,0.15272595
GGA3,0.15272087
ESF1,0.1526976
ZFP41,0.15269002
CTA-445C9.15,0.15266286
C21orf58,0.15265499
DRG2,0.15259285
IL23R,0.15259223
RP4-536B24.3,0.15257233
FADS3,0.15254647
HECA,0.15249377
TBCK,0.15244375
MXI1,0.15239012
