gene,rf_gini,xgb_gain,xgb_cover,xgb_weight,xgb_mean,final_score
B2M,0.9999999999817503,0.5377102727593741,0.18510689432852762,0.9999999999999989,0.9999999999982587,0.9999999999900044
H3F3B,0.8993461766723041,0.3436942977004165,0.13038293830241943,0.8415178571428562,0.7636301276049902,0.8314881521386471
CSNK2B,0.1648354775012169,0.9999999999999801,0.5741299246106014,0.010044642857142846,0.9195256453955098,0.5421805614483634
VAPA,0.1474528011359933,0.915667162058288,0.5926314736656969,0.0122767857142857,0.8826098616174523,0.5150313313767227
TAF12,0.08340711731921742,0.6237029571120392,0.999999999999998,0.0011160714285714272,0.943117505198901,0.5132623112590592
RBM3,0.42207974436615886,0.5787802960479653,0.21149132674637633,0.18749999999999978,0.5675423030787291,0.494811023722444
ATP5A1,0.23498689701721667,0.6454969171799789,0.33377500158122686,0.03906249999999996,0.5910867608085981,0.4130368289129074
ALKBH7,0.14737746765188006,0.33306480951936585,0.7064382775522717,0.0022321428571428544,0.604669636353708,0.376023552002794
DPY30,0.0822873648625426,0.33701236254089484,0.7184047761045734,0.003348214285714282,0.6145546800645034,0.348421022463523
SRGN,0.47248069141292914,0.11174476875036495,0.09620466739404128,0.1316964285714284,0.19714562357731252,0.33481315749512086
SELL,0.41604058191315824,0.10910946431103472,0.20141307866002692,0.11160714285714272,0.24502291589130165,0.3305317489022299
CASP4,0.2252986651115607,0.3004876808769656,0.4280727451102014,0.011160714285714274,0.4293671751146717,0.3273329201131162
UBXN1,0.3865289934359077,0.2009871298852807,0.16478277890738027,0.0491071428571428,0.24081316321589316,0.3136710783259004
DNAJA1,0.15609531243527489,0.38566476992226456,0.4096157565380782,0.0122767857142857,0.4687423178736061,0.3124188151544405
RALBP1,0.023929138510924878,0.05375208198140038,0.9334389351846449,0.0011160714285714272,0.5736575577914884,0.2987933481512067
CLEC2D,0.0007328457112549141,0.034515925449321444,0.9748790885993263,0.0011160714285714272,0.5865457488930986,0.29363929730217675
RPS19BP1,0.13020546201356636,0.2554899824017871,0.5147364013063516,0.007812499999999991,0.45160850412346004,0.2909069830685132
POLR2J,0.0029326768834042217,0.03492548813393235,0.9289131241640706,0.0011160714285714272,0.5601027794237557,0.28151772815358
RP11-505K9.1,0.00011094476168251173,0.024646552084759656,0.9181163991647691,0.0011160714285714272,0.5478695248155131,0.2739902347885978
ITGB2-AS1,0.0008070877765479956,0.0613534566743226,0.8793857909647028,0.0011160714285714272,0.5466948768904982,0.27375098233352313
RAB11B,0.0793532000794091,0.10795722002984821,0.6943405934250994,0.0011160714285714272,0.4663372876880142,0.2728452438837117
LINC00936,0.16296460796222634,0.30502341393753896,0.33421290572639273,0.014508928571428555,0.379462928930094,0.2712137684461602
ARPP19,0.03675130799101634,0.18407449027039077,0.6740879147891542,0.0011160714285714272,0.498763590763998,0.2677574493775072
PPP1R10,0.00012113719260661302,0.031082666573235822,0.8433873125956215,0.0011160714285714272,0.5082292348386092,0.2541751860156079
ILF3,0.0008251383358134695,0.04881593702490367,0.8127178905651744,0.003348214285714282,0.5020161502895907,0.25142064431270206
GSTP1,0.2939198129169532,0.14326735276470384,0.177299845968046,0.03571428571428567,0.20680167997666415,0.25036074644680867
ATP5H,0.2172405890198548,0.08206400866726297,0.3691947111089703,0.008928571428571418,0.26711324915682355,0.24217691908833916
GZMB,0.04046865970997095,0.10358975954351074,0.6473102908965538,0.0011160714285714272,0.4365037313497802,0.23848619552987557
JTB,0.3065506616548216,0.09310317279694129,0.16458333726484192,0.02566964285714283,0.16447256176196173,0.23551161170839166
SF3B5,0.21249445143680645,0.15988027691390574,0.26910227854429125,0.015624999999999983,0.25807007496271267,0.23528226319975956
LAMTOR5,0.1426042786651624,0.08528873904982194,0.4384953933774469,0.02566964285714283,0.31892750187311136,0.23076589026913688
SPTSSA,0.00045195579747328937,0.04113915209348821,0.7415785404992987,0.0011160714285714272,0.45497211137320936,0.22771203358534134
SSB,0.0026928152571606,0.025026213068945424,0.73871546859335,0.0011160714285714272,0.44395758743360075,0.22332520134538067
PILRB,0.03414496683818428,0.044722523546455555,0.6523770369604234,0.0022321428571428544,0.40592334272178937,0.22003415477998683
SNHG7,0.17064516596326357,0.16374947011317167,0.28346283774426256,0.01674107142857141,0.26929925481844597,0.21997221039085477
PRKCB,0.07454491598256395,0.05011641558802727,0.5640051984795124,0.0122767857142857,0.36358959717097755,0.21906725657677076
LAMTOR1,0.2704504985089253,0.06431381940309132,0.19528516000165783,0.023437499999999972,0.16428700898231488,0.2173687537456201
MRPL41,0.06487484440589569,0.06922991190928714,0.5655578147612189,0.0011160714285714272,0.3691069547286009,0.2169908995672483
SCP2,0.1844857308243364,0.10795727666185659,0.2853618630810975,0.022321428571428548,0.2412563423756807,0.21287103660000856
PRPF38A,0.0012211670011689697,0.027234257321045712,0.6582831272035586,0.0022321428571428544,0.3992005306883848,0.20021084884477688
RAF1,0.0002742051201503043,0.036356541231046244,0.6417464397726403,0.0022321428571428544,0.3948968798642887,0.1975855424922195
CCNG1,0.06687775817863309,0.07414475379196454,0.4614907940903294,0.01674107142857141,0.3206240510382147,0.19375090460842387
OCIAD1,0.08782212326243588,0.08854688231732566,0.35056498979035255,0.005580357142857137,0.2581192234120988,0.17297067333726734
NOL7,0.09154510097078189,0.12048310652087889,0.296439404348092,0.004464285714285709,0.24459170980679176,0.1680684053887868
NARS,0.0447055358570666,0.04992044996169312,0.41694878667344404,0.011160714285714274,0.2774699254524141,0.16108773065474036
